ant file download --retries 20 7c96ae879c9f235df566007c15b1e7af54f7c567987fcd1600a112ffc827ba05 BegBlag.mp3  # 00h 2m 11s  md5sum b5cbbfb4fd311c0913972f885cada4e8  16M $0.20 13/02/25
ant file download --retries 20 55f1e03590bf8a82505db21b9e83a7ad49c607c265f9e2ae48a55b3bd679f495 linuxmint-21.2-cinnamon-64bit-edge.iso  # 00h 26m 32s md5sum ae74a9fa207f4436c17ccb844fae1366  2.9G $0.55 11/01/26
ant file download --retries 20 33a9f7f67c8e02181dbd4d460d65d57119b33b9ff3cad4f6a2327110d884b3c6 linuxmint-21.2-mate-64bit.iso  # 00h 16m 15s md5sum 799a21d5eac716b63657dac08cfe436e  2.9G $0.60 11/01/26
ant file download --retries 20 02fcbb5cb691efc2eb829e054a81bd2f1d0e1de53e7b98b1aa9c976622acdfc9 linuxmint-21.2-xfce-64bit.iso  # 00h 24m 14s md5sum a5e3d42d99cbbc69d9e4bc1bf49d5eb4  2.8G $0.58 11/01/26
ant file download --retries 20 69773fd87855de0579e70a71f365e3f6831141797b674c2bbf6d48d665ebe529 linuxmint-21.2-cinnamon-64bit.iso  # 00h 15m 49s md5sum 98213481fef82b9337de96469edb5089  2.9G $0.17 12/01/26
ant file download --retries 20 33a9f7f67c8e02181dbd4d460d65d57119b33b9ff3cad4f6a2327110d884b3c6 linuxmint-21.2-mate-64bit.iso  # 00h 07m 51s md5sum 799a21d5eac716b63657dac08cfe436e  2.9G $0.00 12/01/26
ant file download --retries 20 5f3f397c40bd37c8ef02ae4483abdf53ac0476f00d4600c9524e12757d192a3a linuxmint-21.1-cinnamon-64bit.iso  # 00h 11m 54s md5sum ce0a8c526a0cc8343fba08b6fff61bc8  2.5G $0.15 13/01/26
ant file download --retries 20 c4be83653596ef66f154365689a47c3e6669434e00922b82ff0308aa91666eda linuxmint-21.1-mate-64bit.iso  # 00h 45m 08s md5sum bbc533c66edb7dcbde7525f71f7f5ec8  2.6G $0.19 13/01/26
ant file download --retries 20 999611ba05b1fc07f49f37cb14a14f9b148168f802aaf85fc5f242d50e86ef67 linuxmint-21.1-xfce-64bit.iso  # 00h 12m 02s md5sum b39031bd04edeb7641bb07aec73dc49d  2.5G $0.16 13/01/26
ant file download --retries 20 cf26a65c907a075701adbe6eb7cef00e4664857768b2aea8f92e71774643e8bd linuxmint-21-cinnamon-64bit.iso  # 00h 11m 08s md5sum dcdbee2c135ccc485aa28854056ef787  2.3G $0.17 14/01/26
ant file download --retries 20 e568bd17960d4a3cb763203b36a874fdce674fa2827dda6bac3546508deb49c0 linuxmint-21-mate-64bit.iso  # 00h 25m 31s md5sum 1ec149e7d906d32fb849f90134bde2d6  2.4G $0.17 14/01/26
ant file download --retries 20 2bc0e24a0ffcb628d04400c9265227fc6448fb1216f8cb7db60511c28161b4fd linuxmint-21-xfce-64bit.iso  # 00h 10m 04s md5sum 7f213f0a15cc92e3c12d322df002541e  2.3G $0.16 14/01/26
